"X","Y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
-109.759111111111,30.5648611111111,13.6166667938232,15.6666669845581,52.0487289428711,558.6767578125,29.2999992370605,-0.800000011920929,30.0999984741211,19.9500007629395,16.0833339691162,20.533332824707,7,727,167,6,78.0951232910156,378,56,338,165
-109.187777444444,30.5902774444444,13.1000003814697,14.9166669845581,49.5570297241211,587.711242675781,28.7000007629395,-1.39999997615814,30.1000003814697,19.716667175293,11.8666667938232,20.3666667938232,6.05000019073486,641,144,6,75.5072021484375,330,51,295,143
-108.613888888889,30.569166,11.6000003814697,14.5166664123535,47.7521934509277,607.726745605469,27.2000007629395,-3.20000004768372,30.4000015258789,18.3666667938232,10.5833330154419,19.1000003814697,4.21666669845581,502,116,8,78.3965301513672,274,34,240,95
-109.130554888889,30.5022777777778,12.5166664123535,14.8833332061768,49.7770347595215,579.742614746094,27.8999996185303,-2,29.8999996185303,19.0833339691162,11.25,19.6833343505859,5.58333301544189,662,148,7,75.234001159668,341,51,305,146
-109.078888222222,30.5047222222222,13.2083330154419,15.0166664123535,49.3969306945801,595.371643066406,28.8999996185303,-1.5,30.3999996185303,19.8999996185303,12.0333337783813,20.5666656494141,6.06666660308838,638,142,7,75.0276107788086,327,49,292,142
-108.608861111111,30.4788604444444,13.3999996185303,15.1999998092651,49.5113983154297,595.792053222656,29.1000003814697,-1.60000002384186,30.7000007629395,20.0499992370605,12.3000001907349,20.7666664123535,6.20000028610229,496,112,7,76.54638671875,265,35,234,99
-108.347221888889,30.4441663333333,11.3791666030884,15.1416664123535,49.0021553039551,597.043701171875,27.1000003814697,-3.79999995231628,30.8999996185303,18,10.4166669845581,18.716667175293,4.11666679382324,446,108,9,84.2499542236328,258,27,224,72
-108.604944444444,30.3889718888889,11.8916664123535,15.033332824707,49.4517555236816,582.021667480469,27.5,-2.90000009536743,30.3999996185303,18.3833332061768,10.7666664123535,19.0666656494141,4.84999990463257,511,120,9,80.2579879760742,282,32,249,96
-108.5525,30.3911107777778,12.9583330154419,15.4666662216187,48.6373138427734,618.281433105469,29.2000007629395,-2.59999990463257,31.8000011444092,19.7666664123535,12.0999994277954,20.5833339691162,5.40000009536743,484,111,7,78.4729461669922,262,32,232,95
-108.396666333333,30.3972218888889,11.3791666030884,15.341667175293,49.3301162719727,595.812866210938,27.2000007629395,-3.90000009536743,31.1000003814697,17.9833335876465,10.4333333969116,18.7000007629395,4.11666679382324,448,109,8,84.1818161010742,258,26,226,74
-108.602361111111,30.3439996666667,11.7750005722046,15.1333332061768,49.294246673584,587.055419921875,27.5,-3.20000004768372,30.7000007629395,18.3000011444092,10.6999998092651,19,4.66666650772095,514,120,9,79.642219543457,282,32,249,98
-108.394110777778,30.3519444444444,12.0291662216187,15.8249998092651,49.2990646362305,614.434143066406,28.2999992370605,-3.79999995231628,32.0999984741211,18.7999992370605,11.216667175293,19.5666656494141,4.48333358764648,425,102,8,83.4419403076172,243,25,213,72
-108.342499666667,30.3544444444444,11.7791662216187,15.6916666030884,49.5005264282227,602.76806640625,27.8999996185303,-3.79999995231628,31.6999988555908,18.4166660308838,10.8999996185303,19.1833324432373,4.41666650772095,423,104,7,85.78076171875,247,24,216,66
-108.547777444444,30.3018611111111,12.4291667938232,16.1416664123535,49.9742012023926,605.96826171875,28.8999996185303,-3.40000009536743,32.2999992370605,19.0833339691162,11.5666666030884,19.8666667938232,5.01666688919067,485,113,8,79.5179977416992,266,31,235,93
-108.443666333333,30.3056944444444,12.3083333969116,16.216667175293,49.8974342346191,616.661987304688,28.7999992370605,-3.70000004768372,32.5,19.1000003814697,11.5,19.8500003814697,4.73333311080933,441,105,8,82.3877487182617,249,26,219,78
-108.340277444444,30.3094444444444,12.4875001907349,16.2250003814697,49.4664611816406,622.466247558594,29.1000003814697,-3.70000004768372,32.7999992370605,19.283332824707,11.7666664123535,20.0833339691162,4.80000019073486,402,98,7,85.3653259277344,234,23,205,65
-108.545138555556,30.25675,11.6916666030884,15.7666664123535,49.737117767334,596.687194824219,27.8999996185303,-3.79999995231628,31.6999988555908,18.2666664123535,10.7666664123535,19.0166664123535,4.40000009536743,491,117,9,81.5551834106445,274,29,243,90
-108.493527444444,30.2586944444444,11.1083335876465,15.6999998092651,50.1597442626953,589.363403320312,27.1000003814697,-4.19999980926514,31.2999992370605,17.6333332061768,10.1833333969116,18.3333339691162,3.93333339691162,495,120,10,83.3832931518555,282,30,249,85
-108.543527444444,30.2112222222222,11.9583330154419,16.1666660308838,50.2070388793945,601.35009765625,28.2999992370605,-3.90000009536743,32.2000007629395,18.5833339691162,11.0833330154419,19.3166656494141,4.58333349227905,492,116,8,80.2040786743164,271,30,241,93
-108.490805222222,30.2133333333333,12.2124996185303,16.4416656494141,50.1270332336426,609.810424804688,28.8999996185303,-3.90000009536743,32.7999992370605,18.8833332061768,11.4333333969116,19.6666660308838,4.69999980926514,464,110,8,81.1957778930664,258,28,229,86
-108.439444111111,30.2152777777778,11.9333333969116,16.0833339691162,49.9482421875,607.353942871094,28.2999992370605,-3.90000009536743,32.2000007629395,18.6333332061768,11.0833330154419,19.3666667938232,4.48333358764648,437,106,7,83.4206314086914,249,25,220,74
-108.231277111111,30.2236382222222,12.5500001907349,16.2333335876465,49.6432189941406,613.810729980469,29.2000007629395,-3.5,32.7000007629395,19.2333335876465,11.8333339691162,20.033332824707,5,371,94,4,90.6350250244141,226,20,197,52
-108.436583,30.1699437777778,12.3041667938232,15.9750003814697,49.7663536071777,607.489074707031,28.6000003814697,-3.5,32.0999984741211,19,11.4499998092651,19.7333335876465,4.83333349227905,442,107,7,83.8259735107422,251,24,223,79
-108.385277444444,30.1724993333333,11.5749998092651,15.7666664123535,49.737117767334,599.717712402344,27.7000007629395,-4,31.7000007629395,18.2000007629395,10.6666669845581,18.9166660308838,4.23333311080933,418,105,5,87.6848754882812,247,22,218,65
-108.229721555556,30.1780548888889,12.1875,16.4916667938232,50.2794723510742,608.385070800781,28.7999992370605,-4,32.7999992370605,18.8333339691162,8.14999961853027,19.6000003814697,4.69999980926514,372,95,4,90.4337692260742,226,20,197,51
-108.434666333333,30.125666,12.2083330154419,16.033332824707,50.1041679382324,599.817504882812,28.5,-3.5,32,18.8166675567627,11.3333330154419,19.5166664123535,4.83333301544189,437,107,6,84.4111099243164,250,24,222,76
-108.331527111111,30.1291104444444,13.3291664123535,16.7083339691162,49.8756217956543,629.084655761719,30.2999992370605,-3.20000004768372,33.5,20.1499996185303,12.7166662216187,21,5.55000019073486,437,104,8,83.6383056640625,248,27,221,79
-108.227916,30.1332771111111,12.4166669845581,16.8833332061768,50.8534126281738,608.714477539062,29.1000003814697,-4.09999990463257,33.2000007629395,19.0499992370605,8.39999961853027,19.7999992370605,4.88333320617676,367,94,3,91.2126998901367,224,19,196,50
-108.175666,30.1356385555556,11.9458332061768,16.408332824707,50.6430053710938,598.313781738281,28.2999992370605,-4.09999990463257,32.3999977111816,18.5166664123535,7.91666650772095,19.2333335876465,4.58333349227905,379,98,4,92.5304412841797,234,19,204,49
-108.380554888889,30.0824993333333,12.345832824707,16.6083335876465,50.7900123596191,604.240539550781,28.8999996185303,-3.79999995231628,32.7000007629395,18.9833335876465,11.5333337783813,19.716667175293,4.91666650772095,407,102,5,87.2063064575195,239,22,212,64
